Field Name,Units
Worship Facility - Seating Capacity,
Worship Facility - Weekly Operating Hours,
Zoo - Computer Density,"Number per 1,000 ft2"
Zoo - Gross Floor Area,ft2
Zoo - Number of Computers,
Zoo - Number of Workers on Main Shift,
Zoo - Percent That Can Be Cooled ,Percentage
Zoo - Percent That Can Be Heated ,Percentage
Zoo - Weekly Operating Hours,
Zoo - Worker Density,"Number per 1,000 ft2 "
Onsite Renewable System Generation,kWh
Onsite Renewable System Electricty Exported,kWh
Electricity - Onsite Renewable System Electricity Used Onsite/Coincident,kWh
"Electricity Sourced from Onsite Renewable Systems (% of Total Electricity, including Grid Purchase and Onsite)",Percentage
RECs Retained (% of Onsite Renewable System Electricity Used Onsite/Coincident),Percentage
Green Power - Onsite,kWh
Green Power - Offsite,kWh
Green Power - Onsite and Offiste,kWh
"Green Power (% of Total Electricity, including Grid Purchase and Onsite)",Percentage
Avoided Emissions - Onsite Green Power,MtCO2e
Avoided Emissions - Offsite Green Power,MtCO2e
Avoided Emissions - Onsite and Offsite Green Power,MtCO2e
Net Emissions,MtCO2e 
Guiding Principles - Actual Date of Compliance,Date
Guiding Principles - Target Date of Compliance,Date
Guiding Principles - Checklist Manager,
Guiding Principles - % Complete (Yes or Not Applicable),Percentage
Guiding Principles - % Yes,Percentage
Guiding Principles - % Not Applicable,Percentage
Guiding Principles - % In Process,Percentage
Guiding Principles - % No,Percentage
Guiding Principles - % Not Assessed,Percentage
Guiding Principle I. Integrated – Team,
Guiding Principle I. Integrated – Goals,
Guiding Principle I. Integrated– Plan,
Guiding Principle I. Integrated -Occupant Feedback,
Guiding Principle I. Integrated – Commissioning,
Guiding Principle II. Energy - Energy Efficiency (Any Option),
Guiding Principle II. Energy - Energy Efficiency -ENERGY STAR Score,
Guiding Principle II. Energy - Energy Efficiency -Measured 20%,
Guiding Principle II. Energy - Energy Efficiency -Code 20%,
Guiding Principle II. Energy - Efficient Products ,
Guiding Principle II. Energy - Measurement & Verification,
Guiding Principle II. Energy - On-Site Renewable ,
Guiding Principle II. Energy - Benchmarking,
Guiding Principle III. Water - Indoor Water (Any Option),
Guiding Principle III. Water - Indoor Water - Code 20%,
Guiding Principle III. Water - Indoor Water - Measured 20%,
Guiding Principle III. Water - Outdoor Water (Any Option),
Guiding Principle III. Water - Outdoor Water - Measured 50%,
Guiding Principle III. Water - Outdoor Water - Conventional 50%,
Guiding Principle III. Water - Outdoor Water -No Outdoor Water,
Guiding Principle III. Water - Stormwater,
Guiding Principle III. Water - Efficient Products,
Guiding Principle IV. Indoor Environment - Ventilation & Thermal Comfort,
Guiding Principle IV. Indoor Environment - Moisture Control ,
Guiding Principle IV. Indoor Environment - Automated Lighting Controls ,
Guiding Principle IV. Indoor Environment - Daylighting & Occupant Controls,
Guiding Principle IV. Indoor Environment - Daylighting ,
Guiding Principle IV. Indoor Environment - Occupant Controls,
Guiding Principle IV. Indoor Environment - Low-Emitting Materials,
Guiding Principle IV. Indoor Environment - Integrated Pest Management,
Guiding Principle IV. Indoor Environment - Tobacco Smoke Control ,
Guiding Principle V. Materials - Recycled Content,
Guiding Principle V. Materials - Biobased Content,
Guiding Principle V. Materials - Environmentally Preferred Products,
Guiding Principle V. Materials - Waste & Materials Management,
Guiding Principle V. Materials - Ozone Depleting Compounds ,
Target ENERGY STAR Score,
Target % Better Than Median Source EUI,Percentage
Target Site Energy Use,kBtu
Target Source Energy Use,kBtu
Target Site EUI,kBtu/ft2
Target Source EUI,kBtu/ft2
Target Water/Wastewater Site EUI,kBtu/gpd
Target Water/Wastewater Source EUI,kBtu/gpd
Target Energy Cost,Dollars
Target Total GHG Emissions,MtCO2e
Target Total GHG Emissions Intensity,kgCO2e/ft2
Design Target ENERGY STAR Score,
Design Target % Better Than Median Source EUI,Percentage
Design Target Site Energy Use,kBtu
Design Target Source Energy Use,kBtu
Design Target Site EUI,kBtu/ft2
Design Target Source EUI,kBtu/ft2
Design Target Water/Wastewater Site EUI,kBtu/gpd
Design Target Water/Wastewater Source EUI,kBtu/gpd
Design Target Energy Cost,Dollars
Design Target Total GHG Emissions,MtCO2e
Design Target Total GHG Emissions Intensity,kgCO2e/ft2 
Water Baseline Date,Date
Water Current Date,Date
Total Water Use (All Water Sources),kgal
Indoor Water Use (All Water Sources),kgal
Indoor Water Intensity (All Water Sources),kgal/ft2
Outdoor Water Use (All Water Sources),kgal
Municipally Supplied Potable Water – All Use,kgal
Municipally Supplied Potable Water – Indoor Use,kgal
Municipally Supplied Potable Water – Indoor Intensity,gal/ft2
Municipally Supplied Potable Water – Outdoor Use,kgal
Municipally Supplied Reclaimed Water – All Use,kgal
Municipally Supplied Reclaimed Water – Indoor Use,kgal
Municipally Supplied Reclaimed Water – Indoor Intensity,gal/ft2
Municipally Supplied Reclaimed Water – Outdoor Use,kgal
Alternative Water Generated On-Site – All Use,kgal
Alternative Water Generated On-Site – Indoor Use,kgal
Alternative Water Generated On-Site – Indoor Intensity,gal/ft2
Alternative Water Generated On-Site – Outdoor Use,kgal
Other Water Sources – All Use,kgal
Other Water Sources – Indoor Use,kgal
Other Water Sources – Indoor Intensity,gal/ft2
Other Water Sources – Outdoor Use,kgal 
