CurrentSEED,NewSEED,PM1,PM2,Type,
Fast Food Restaurant - Weekly Operating Hours,Component Fast Food Service Business Average Weekly Hours,Fast Food Restaurant - Weekly Operating Hours,fastFoodRestaurantWeeklyOperatingHours,float,
"Fast Food Restaurant - Worker Density (Number per 1,000 ft2)",,"Fast Food Restaurant - Worker Density (Number per 1,000 ft2)",fastFoodRestaurantWorkerDensity,float,
Federal Agency/Department,Federal Government Agency Company,Federal Agency/Department,,string,
Federal Region/Sub-Department,Government Agency Company,Federal Region/Sub-Department,,string,
"Financial Office - Computer Density (Number per 1,000 ft2)",,"Financial Office - Computer Density (Number per 1,000 ft2)",financialOfficeComputerDenisty,float,
Financial Office - Gross Floor Area (ft2),Component Office Gross Floor Area,Financial Office - Gross Floor Area (ft2),financialOfficeGrossFloorArea,float,
Financial Office - Number of Computers,Component Office Computer Quantity,Financial Office - Number of Computers,financialOfficeNumberOfComputers,float,
Financial Office - Number of Workers on Main Shift,Component Office Workers on Main Shift Occupant Quantity,Financial Office - Number of Workers on Main Shift,financialOfficeNumberOfWorkersOnMainShift,float,
Financial Office - Percent That Can Be Cooled,,Financial Office - Percent That Can Be Cooled,financialOfficePercentThatCanBeCooled,string,
Financial Office - Percent That Can Be Heated,,Financial Office - Percent That Can Be Heated,financialOfficePercentThatCanBeHeated,string,
Financial Office - Weekly Operating Hours,Component Office Business Average Weekly Hours,Financial Office - Weekly Operating Hours,financialOfficeWeeklyOperatingHours,float,
"Financial Office - Worker Density (Number per 1,000 ft2)",,"Financial Office - Worker Density (Number per 1,000 ft2)",financialOfficeWorkerDensity,float,
"Fire Station - Computer Density (Number per 1,000 ft2)",,"Fire Station - Computer Density (Number per 1,000 ft2)",fireStationComputerDensity,float,
Fire Station - Gross Floor Area (ft2),Component Public Safety Station Gross Floor Area,Fire Station - Gross Floor Area (ft2),fireStationGrossFloorArea,float,
Fire Station - Number of Computers,Component Public Safety Station Computer Quantity,Fire Station - Number of Computers,fireStationNumberOfComputers,float,
Fire Station - Number of Workers on Main Shift,Component Public Safety Station Workers on Main Shift Occupant Quantity,Fire Station - Number of Workers on Main Shift,fireStationNumberOfWorkersOnMainShift,float,
Fire Station - Weekly Operating Hours,Component Public Safety Station Business Average Weekly Hours,Fire Station - Weekly Operating Hours,fireStationWeeklyOperatingHours,float,
"Fire Station - Worker Density (Number per 1,000 ft2)",,"Fire Station - Worker Density (Number per 1,000 ft2)",fireStationWorkerDensity,float,
"Fitness Center/Health Club/Gym - Computer Density (Number per 1,000 ft2)",,"Fitness Center/Health Club/Gym - Computer Density (Number per 1,000 ft2)",fitnessCenterHealthClubGymComputerDensity,float,
Fitness Center/Health Club/Gym - Gross Floor Area (ft2),,Fitness Center/Health Club/Gym - Gross Floor Area (ft2),fitnessCenterHealthClubGymGrossFloorArea,float,
Fitness Center/Health Club/Gym - Number of Computers,Component Fitness Center Computer Quantity,Fitness Center/Health Club/Gym - Number of Computers,fitnessCenterHealthClubGymNumberOfComputers,float,
Fitness Center/Health Club/Gym - Number of Workers on Main Shift,Component Fitness Center Workers on Main Shift Occupant Quantity,Fitness Center/Health Club/Gym - Number of Workers on Main Shift,fitnessCenterHealthClubGymNumberOfWorkersOnMainShift,float,
Fitness Center/Health Club/Gym - Weekly Operating Hours,Component Fitness Center Business Average Weekly Hours,Fitness Center/Health Club/Gym - Weekly Operating Hours,fitnessCenterHealthClubGymWeeklyOperatingHours,float,
"Fitness Center/Health Club/Gym - Worker Density (Number per 1,000 ft2)",,"Fitness Center/Health Club/Gym - Worker Density (Number per 1,000 ft2)",fitnessCenterHealthClubGymWorkerDensity,float,
"Food Sales - Computer Density (Number per 1,000 ft2)",,"Food Sales - Computer Density (Number per 1,000 ft2)",foodSalesComputerDensity,float,
Food Sales - Gross Floor Area (ft2),Component Food Sales Gross Floor Area,Food Sales - Gross Floor Area (ft2),foodSalesGrossFloorArea,float,
Food Sales - Number of Computers,Component Food Sales Computer Quantity,Food Sales - Number of Computers,foodSalesNumberOfComputers,float,
Food Sales - Number of Workers on Main Shift,Component Food Sales Workers on Main Shift Occupant Quantity,Food Sales - Number of Workers on Main Shift,foodSalesNumberOfWorkersOnMainShift,float,
Food Sales - Weekly Operating Hours,Component Food Sales Business Average Weekly Hours,Food Sales - Weekly Operating Hours,foodSalesWeeklyOperatingHours,float,
"Food Sales - Worker Density (Number per 1,000 ft2)",,"Food Sales - Worker Density (Number per 1,000 ft2)",foodSalesWorkerDensity,float,
"Food Service - Computer Density (Number per 1,000 ft2)",,"Food Service - Computer Density (Number per 1,000 ft2)",foodServiceComputerDensity,float,
Food Service - Gross Floor Area (ft2),Component Food Service Gross Floor Area,Food Service - Gross Floor Area (ft2),foodServiceGrossFloorArea,float,
Food Service - Number of Computers,Component Food Service Computer Quantity,Food Service - Number of Computers,foodServiceNumberOfComputers,float,
Food Service - Number of Workers on Main Shift,Component Food Service Workers on Main Shift Occupant Quantity,Food Service - Number of Workers on Main Shift,foodServiceNumberOfWorkersOnMainShift,float,
Food Service - Weekly Operating Hours,Component Food Service Business Average Weekly Hours,Food Service - Weekly Operating Hours,foodServiceWeeklyOperatingHours,float,
"Food Service - Worker Density (Number per 1,000 ft2)",,"Food Service - Worker Density (Number per 1,000 ft2)",foodServiceWorkerDensity,float,
Fuel Oil (No. 1) Cost ($),Fuel Oil No-1 Resource Cost,Fuel Oil (No. 1) Cost ($),energyCostFuelOil1,float,
Fuel Oil (No. 2) Cost ($),Fuel Oil No-2 Resource Cost,Fuel Oil (No. 2) Cost ($),energyCostFuelOil2,float,
Fuel Oil (No. 4) Cost ($),Fuel Oil No-4 Resource Cost,Fuel Oil (No. 4) Cost ($),energyCostFuelOil4,float,
Fuel Oil (No. 5 and No. 6) Cost ($),Fuel Oil No-5 and No-6 Resource Cost,Fuel Oil (No. 5 and No. 6) Cost ($),energyCostFuelOil5And6,float,
Fuel Oil #1 Use (kBtu),Fuel Oil No-1 Resource Use,Fuel Oil #1 Use (kBtu),siteEnergyUseFuelOil1,float,
Fuel Oil #2 Use (kBtu),Fuel Oil No-2 Resource Use,Fuel Oil #2 Use (kBtu),siteEnergyUseFuelOil2,float,
Fuel Oil #4 Use (kBtu),Fuel Oil No-4 Resource Use,Fuel Oil #4 Use (kBtu),siteEnergyUseFuelOil4,float,
Fuel Oil #5 & 6 Use (kBtu),Fuel Oil No-5 and No-6 Resource Use,Fuel Oil #5 & 6 Use (kBtu),siteEnergyUseFuelOil5And6,float,
,Premises Green Globes CIEB Project ID Identifier Value,Green Globes CIEB Project ID,,string,
,Premises Green Globes NC Project ID Identifier Value,Green Globes NC Project ID,,string,
Green Power - Offsite (kWh),Offsite Green Power,Green Power - Offsite (kWh),greenPowerOffSite,float,
Green Power - Onsite (kWh),Onsite Green Power,Green Power - Onsite (kWh),greenPowerOnSite,float,
Green Power - Onsite and Offsite (kWh),Onsite and Offsite Green Power,Green Power - Onsite and Offsite (kWh),greenPowerOnSiteAndOffSite,float,
Guiding Principle 1.1 Integrated - Team,Guiding Principle 1.1 Integrated - Team,Guiding Principle 1.1 Integrated - Team,federalGuidingPrinciplesIntegratedTeam,string,
Guiding Principle 1.2 Integrated - Goals,Guiding Principle 1.2 Integrated - Goals,Guiding Principle 1.2 Integrated - Goals,federalGuidingPrinciplesIntegratedGoals,string,
Guiding Principle 1.3 Integrated - Plan,Guiding Principle 1.3 Integrated - Plan,Guiding Principle 1.3 Integrated - Plan,federalGuidingPrinciplesIntegratedPlan,string,
Guiding Principle 1.4 Integrated -Occupant Feedback,Guiding Principle 1.4 Integrated -Occupant Feedback,Guiding Principle 1.4 Integrated -Occupant Feedback,federalGuidingPrinciplesIntegratedOccupantFeedback,string,
Guiding Principle 1.5 Integrated - Commissioning,Guiding Principle 1.5 Integrated - Commissioning,Guiding Principle 1.5 Integrated - Commissioning,federalGuidingPrinciplesIntegratedCommissioning,string,
Guiding Principle 2.1 Energy - Energy Efficiency Any Option (Any Option),Guiding Principle 2.1 Energy - Energy Efficiency Any Option (Any Option),Guiding Principle 2.1  Energy - Energy Efficiency (Any Option),federalGuidingPrinciplesEnergyEfficiencyAnyOption,string,
Guiding Principle 2.1 Energy Efficiency - Option 1,Guiding Principle 2.1 Energy Efficiency - Option 1,Guiding Principle 2.1 Energy Efficiency - Option 1,federalGuidingPrinciplesEnergyEfficiencyOption1,string,
Guiding Principle 2.1 Energy Efficiency - Option 2,Guiding Principle 2.1 Energy Efficiency - Option 2,Guiding Principle 2.1 Energy Efficiency - Option 2,federalGuidingPrinciplesEnergyEfficiencyOption2,string,
Guiding Principle 2.1 Energy Efficiency - Option 3,Guiding Principle 2.1 Energy Efficiency - Option 3,Guiding Principle 2.1 Energy Efficiency - Option 3,federalGuidingPrinciplesEnergyEfficiencyOption3,string,
Guiding Principle 2.2 Energy - Efficient Products,Guiding Principle 2.2 Energy - Efficient Products,Guiding Principle 2.2 Energy - Efficient Products,federalGuidingPrinciplesEnergyEfficientProducts,string,
Guiding Principle 2.3 Energy - Onsite Renewable,Guiding Principle 2.3 Energy - Onsite Renewable,Guiding Principle 2.3  Energy - Onsite Renewable,federalGuidingPrinciplesEnergyOnsiteRenewable,string,
Guiding Principle 2.4 Energy - Measurement and Verification,Guiding Principle 2.4 Energy - Measurement and Verification,Guiding Principle 2.4 Energy - Measurement and Verification,federalGuidingPrinciplesEnergyMeasurementVerification,string,
Guiding Principle 2.5 Energy - Benchmarking,Guiding Principle 2.5 Energy - Benchmarking,Guiding Principle 2.5 Energy - Benchmarking,federalGuidingPrinciplesEnergyBenchmarking,string,
Guiding Principle 3.1 Indoor Water - Option 1,Guiding Principle 3.1 Indoor Water - Option 1,Guiding Principle 3.1 Indoor Water - Option 1,federalGuidingPrinciplesWaterIndoorWaterOption1,string,
Guiding Principle 3.1 Indoor Water - Option 2,Guiding Principle 3.1 Indoor Water - Option 2,Guiding Principle 3.1 Indoor Water - Option 2,federalGuidingPrinciplesWaterIndoorWaterOption2,string,
Guiding Principle 3.1 Water - Indoor Water Any Option (Any Option),Guiding Principle 3.1 Water - Indoor Water Any Option (Any Option),Guiding Principle 3.1 Water - Indoor Water (Any Option),federalGuidingPrinciplesWaterIndoorWaterAnyOption,string,
Guiding Principle 3.2 Outdoor Water - Option 1,Guiding Principle 3.2 Outdoor Water - Option 1,Guiding Principle 3.2 Outdoor Water - Option 1,federalGuidingPrinciplesWaterOutdoorWaterOption1,string,
Guiding Principle 3.2 Outdoor Water - Option 2,Guiding Principle 3.2 Outdoor Water - Option 2,Guiding Principle 3.2 Outdoor Water - Option 2,federalGuidingPrinciplesWaterOutdoorWaterOption2,string,
Guiding Principle 3.2 Outdoor Water - Option 3,Guiding Principle 3.2 Outdoor Water - Option 3,Guiding Principle 3.2 Outdoor Water - Option 3,federalGuidingPrinciplesWaterOutdoorWaterOption3,string,
Guiding Principle 3.2 Water - Outdoor Water Any Option (Any Option),Guiding Principle 3.2 Water - Outdoor Water Any Option (Any Option),Guiding Principle 3.2 Water - Outdoor Water (Any Option),federalGuidingPrinciplesWaterOutdoorWaterAnyOption,string,
Guiding Principle 3.3 Water - Stormwater,Guiding Principle 3.3 Water - Stormwater,Guiding Principle 3.3 Water - Stormwater,federalGuidingPrinciplesWaterStormWater,string,
Guiding Principle 3.4 Water - Efficient Products,Guiding Principle 3.4 Water - Efficient Products,Guiding Principle 3.4 Water - Efficient Products,federalGuidingPrinciplesWaterEfficientProducts,string,
Guiding Principle 4.1 Indoor Environment - Ventilation and Thermal Comfort,Guiding Principle 4.1 Indoor Environment - Ventilation and Thermal Comfort,Guiding Principle 4.1 Indoor Environment - Ventilation and Thermal Comfort,federalGuidingPrinciplesIndoorEnvironmentVentilationThermalComfort,string,
Guiding Principle 4.2 Indoor Environment - Moisture Control,Guiding Principle 4.2 Indoor Environment - Moisture Control,Guiding Principle 4.2 Indoor Environment - Moisture Control,federalGuidingPrinciplesIndoorEnvironmentMoistureControl,string,
Guiding Principle 4.3 Indoor Environment - Automated Lighting Controls,Guiding Principle 4.3 Indoor Environment - Automated Lighting Controls,Guiding Principle 4.3 Indoor Environment - Automated Lighting Controls,federalGuidingPrinciplesIndoorEnvironmentAutomatedLightingControls,string,
Guiding Principle 4.4 Daylighting and Occupant Controls - Option 1,Guiding Principle 4.4 Daylighting and Occupant Controls - Option 1,Guiding Principle 4.4 Daylighting and Occupant Controls - Option 1,federalGuidingPrinciplesIndoorEnvironmentDaylightingOccupantControlsOption1,string,
Guiding Principle 4.4 Daylighting and Occupant Controls - Option 2,Guiding Principle 4.4 Daylighting and Occupant Controls - Option 2,Guiding Principle 4.4 Daylighting and Occupant Controls - Option 2,federalGuidingPrinciplesIndoorEnvironmentDaylightingOccupantControlsOption2,string,
Guiding Principle 4.4 Indoor Environment - Daylighting and Occupant Controls Any Option (Any Option),Guiding Principle 4.4 Indoor Environment - Daylighting and Occupant Controls Any Option (Any Option),Guiding Principle 4.4 Indoor Environment - Daylighting and Occupant Controls (Any Option),federalGuidingPrinciplesIndoorEnvironmentDaylightingOccupantControlsAnyOption,string,
Guiding Principle 4.5 Indoor Environment - Low-Emitting Materials,Guiding Principle 4.5 Indoor Environment - Low-Emitting Materials,Guiding Principle 4.5 Indoor Environment - Low-Emitting Materials,federalGuidingPrinciplesIndoorEnvironmentLowEmittingMaterials,string,
Guiding Principle 4.6 Indoor Environment - Integrated Pest Management,Guiding Principle 4.6 Indoor Environment - Integrated Pest Management,Guiding Principle 4.6 Indoor Environment - Integrated Pest Management,federalGuidingPrinciplesIndoorEnvironmentIntegratedPestManagement,string,
Guiding Principle 4.7 Indoor Environment - Tobacco Smoke Control,Guiding Principle 4.7 Indoor Environment - Tobacco Smoke Control,Guiding Principle 4.7 Indoor Environment - Tobacco Smoke Control,federalGuidingPrinciplesIndoorEnvironmentTobaccoSmokeControl,string,
Guiding Principle 5.1 Materials - Recycled Content,Guiding Principle 5.1 Materials - Recycled Content,Guiding Principle 5.1 Materials - Recycled Content,federalGuidingPrinciplesMaterialsRecycledContent,string,
Guiding Principle 5.2 Materials - Biobased Content,Guiding Principle 5.2 Materials - Biobased Content,Guiding Principle 5.2 Materials - Biobased Content,federalGuidingPrinciplesMaterialsBiobasedContent,string,
Guiding Principle 5.3 Materials - Environmentally Preferred Products,Guiding Principle 5.3 Materials - Environmentally Preferred Products,Guiding Principle 5.3 Materials - Environmentally Preferred Products,federalGuidingPrinciplesMaterialsEnvironmentallyPreferableProducts,string,
Guiding Principle 5.4 Materials - Waste and Materials Mgmt,Guiding Principle 5.4 Materials - Waste and Materials Mgmt,Guiding Principle 5.4 Materials - Waste and Materials Mgmt,federalGuidingPrinciplesMaterialsWasteMaterialsMgmt,string,
Guiding Principle 5.5 Materials - Ozone Depleting Compounds,Guiding Principle 5.5 Materials - Ozone Depleting Compounds,Guiding Principle 5.5 Materials - Ozone Depleting Compounds,federalGuidingPrinciplesMaterialsOzoneDepletingCompounds,string,
Guiding Principles - % In Process,Guiding Principles - % In Process,Guiding Principles -  % In Process,federalGuidingPrinciplesPercentInProcess,string,
Guiding Principles - % No,Guiding Principles - % No,Guiding Principles -  % No,federalGuidingPrinciplesPercentNo,string,
Guiding Principles - % Not Applicable,Guiding Principles - % Not Applicable,Guiding Principles -  % Not Applicable,federalGuidingPrinciplesPercentNotApplicable,string,
Guiding Principles - % Not Assessed,Guiding Principles - % Not Assessed,Guiding Principles -  % Not Assessed,federalGuidingPrinciplesPercentNotAssessed,string,
Guiding Principles - % Yes,Guiding Principles - % Yes,Guiding Principles -  % Yes,federalGuidingPrinciplesPercentYes,string,
Guiding Principles - % Complete (Yes or Not Applicable),Guiding Principles - % Complete (Yes or Not Applicable),Guiding Principles - % Complete (Yes or Not Applicable),federalGuidingPrinciplesPercentComplete,string,
Guiding Principles - Checklist Manager,Guiding Principles - Checklist Manager,Guiding Principles - Checklist Manager,federalGuidingPrinciplesChecklistManager,string,
Guiding Principles - Principles Date Achieved,Guiding Principles - Principles Date Achieved,Guiding Principles - Principles Date Achieved,federalGuidingPrinciplesDateAchieved,string,
Guiding Principles - Principles Date Anticipated,Guiding Principles - Principles Date Anticipated,Guiding Principles - Principles Date Anticipated,federalGuidingPrinciplesDateAnticipated,string,
Heating Degree Days (HDD) (�F),Heating Degree Days (HDD),Heating Degree Days (HDD) (�F),heatingDegreeDaysHDD,float,
"Hospital (General Medical & Surgical) - Full Time Equivalent (FTE) Workers Density (Number per 1,000 ft2)",,"Hospital (General Medical & Surgical) - Full Time Equivalent (FTE) Workers Density (Number per 1,000 ft2)",hospitalGeneralMedicalSurgicalFullTimeEquivalentFteWorkersDensity,float,
Hospital (General Medical & Surgical) - Gross Floor Area (ft2),Component Inpatient Hospital Gross Floor Area,Hospital (General Medical & Surgical) - Gross Floor Area (ft2),hospitalGeneralMedicalSurgicalGrossFloorArea,float,
Hospital (General Medical & Surgical) - Laboratory,Sub-component Medical Laboratory,Hospital (General Medical & Surgical) - Laboratory,hospitalGeneralMedicalSurgicalLaboratory,string,
Hospital (General Medical & Surgical) - Licensed Bed Capacity,Component Inpatient Hospital Licensed Beds Occupant Quantity,Hospital (General Medical & Surgical) - Licensed Bed Capacity,hospitalGeneralMedicalSurgicalLicensedBedCapacity,float,
"Hospital (General Medical & Surgical) - Licensed Bed Capacity Density (Number per 1,000 ft2)",,"Hospital (General Medical & Surgical) - Licensed Bed Capacity Density (Number per 1,000 ft2)",hospitalGeneralMedicalSurgicalLicensedBedCapacityDensity,float,
Hospital (General Medical & Surgical) - Maximum Number of Floors,,Hospital (General Medical & Surgical) - Maximum Number of Floors,hospitalGeneralMedicalSurgicalMaximumNumberOfFloors,float,
"Hospital (General Medical & Surgical) - MRI Density (Number per 1,000 ft2)",,"Hospital (General Medical & Surgical) - MRI Density (Number per 1,000 ft2)",hospitalGeneralMedicalSurgicalMriDensity,float,
Hospital (General Medical & Surgical) - Number of MRI Machines,Component Inpatient Hospital Medical Equipment Quantity,Hospital (General Medical & Surgical) - Number of MRI Machines,hospitalGeneralMedicalSurgicalNumberOfMriMachines,float,
Hospital (General Medical & Surgical) - Number of Staffed Beds,Component Inpatient Hospital Staffed Beds Occupant Quantity,Hospital (General Medical & Surgical) - Number of Staffed Beds,hospitalGeneralMedicalSurgicalNumberOfStaffedBeds,float,
Hospital (General Medical & Surgical) - Number of Workers on Main Shift,Component Inpatient Hospital Workers on Main Shift Occupant Quantity,Hospital (General Medical & Surgical) - Number of Workers on Main Shift,hospitalGeneralMedicalSurgicalNumberOfWorkersOnMainShift,float,
"Hospital (General Medical & Surgical) - Number of Workers on Main Shift Density (Number per 1,000 ft2)",,"Hospital (General Medical & Surgical) - Number of Workers on Main Shift Density (Number per 1,000 ft2)",hospitalGeneralMedicalSurgicalNumberOfWorkersOnMainShiftDensity,float,
Hospital (General Medical & Surgical) - Onsite Laundry Facility,Sub-component Commercial Laundry Area,Hospital (General Medical & Surgical) - Onsite Laundry Facility,hospitalGeneralMedicalSurgicalOnsiteLaundryFacilitiy,float,
Hospital (General Medical & Surgical) - Owned By,Component Inpatient Hospital Ownership,Hospital (General Medical & Surgical) - Owned By,hospitalGeneralMedicalSurgicalOwnedBy,string,
Hospital (General Medical & Surgical) - Percent That Can Be Cooled,,Hospital (General Medical & Surgical) - Percent That Can Be Cooled,hospitalGeneralMedicalSurgicalPercentThatCanBeCooled,string,
Hospital (General Medical & Surgical) - Percent That Can Be Heated,,Hospital (General Medical & Surgical) - Percent That Can Be Heated,hospitalGeneralMedicalSurgicalPercentThatCanBeHeated,string,
"Hospital (General Medical & Surgical) - Staffed Bed Density (Number per 1,000 ft2)",,"Hospital (General Medical & Surgical) - Staffed Bed Density (Number per 1,000 ft2)",hospitalGeneralMedicalSurgicalStaffedBedDensity,float,
Hospital (General Medical & Surgical) - Tertiary Care,Sub-component Tertiery Care,Hospital (General Medical & Surgical) - Tertiary Care,hospitalGeneralMedicalSurgicalTertiaryCare,string,
Hospital (General Medical & Surgical)- Full Time Equivalent (FTE) Workers,Component Inpatient Hospital Full Time Equivalent (FTE) Workers Occupant Quantity,Hospital (General Medical & Surgical)- Full Time Equivalent (FTE) Workers,hospitalGeneralMedicalSurgicalFullTimeEquivalentFteWorkers,float,
Hotel - Amount of Laundry Processed On-site Annually (short tons/year),Component Lodging with Extended Amenities Laundry Tons Annually  Interval Reading,Hotel - Amount of Laundry Processed On-site Annually (short tons/year),hotelAmountOfLaundryProcessedOnsiteAnnually,float,
"Hotel - Commercial Refrigeration Density (Number per 1,000 ft2)",,"Hotel - Commercial Refrigeration Density (Number per 1,000 ft2)",hotelCommercialRefrigerationDensity,float,
Hotel - Cooking Facilities,Sub-component Commercial Kitchen,Hotel - Cooking Facilities,hotelCookingFacilities,string,
Hotel - Full Service Spa Floor Area (ft2),Sub-component Beauty and Health Services Gross Floor Area,Hotel - Full Service Spa Floor Area (ft2),hotelFullServiceSpaFloorArea,float,
Hotel - Gross Floor Area (ft2),Component Lodging with Extended Amenities Gross Floor Area,Hotel - Gross Floor Area (ft2),hotelGrossFloorArea,float,
Hotel - Gym/fitness Center Floor Area (ft2),Sub-component Fitness Center Gross Floor Area,Hotel - Gym/fitness  Center Floor Area (ft2),hotelGymFitnessCenterFloorArea,float,
Hotel - Number of Workers on Main Shift,Component Lodging with Extended Amenities Workers on Main Shift Occupant Quantity,Hotel - Number of Workers on Main Shift,hotelNumberOfWorkersOnMainShift,float,
Hotel - Percent That Can Be Cooled,,Hotel - Percent That Can Be Cooled,hotelPercentThatCanBeCooled,string,
Hotel - Percent That Can Be Heated,,Hotel - Percent That Can Be Heated,hotelPercentThatCanBeHeated,string,
"Hotel - Room Density (Number per 1,000 ft2)",,"Hotel - Room Density (Number per 1,000 ft2)",hotelRoomDensity,float,
Hotel - Type of Laundry Facility,Sub-component Commercial Laundry Load Type,Hotel - Type of Laundry Facility,hotelTypeOfLaundryFacility,string,
"Hotel - Worker Density (Number per 1,000 ft2)",,"Hotel - Worker Density (Number per 1,000 ft2)",hotelWorkerDensity,float,
Hotel- Hours per day guests on-site,,Hotel- Hours per day guests on-site,hotelHoursPerDayGuestsOnsite,float,
Hotel- Number of Commercial Refrigeration/Freezer Units,Component Lodging with Extended Amenities Commercial Refrigeration Quantity,Hotel- Number of Commercial Refrigeration/Freezer Units,hotelNumberOfCommercialRefrigerationFreezerUnits,float,
Hotel- Number of guest meals served per year,Component Lodging with Extended Amenities Meal served Operation Events per Year,Hotel- Number of guest meals served per year,hotelNumberOfGuestMealsServedPerYear,float,
Hotel- Number of Rooms,Component Lodging with Extended Amenities Guest Rooms Number of Units,Hotel- Number of Rooms,hotelNumberOfRooms,float,
"Ice/Curling Rink - Computer Density (Number per 1,000 ft2)",,"Ice/Curling Rink - Computer Density (Number per 1,000 ft2)",iceCurlingRinkComputerDensity,float,
Ice/Curling Rink - Gross Floor Area (ft2),Component Ice Rink Gross Floor Area,Ice/Curling Rink - Gross Floor Area (ft2),iceCurlingRinkGrossFloorArea,float,
Ice/Curling Rink - Number of Computers,Component Ice Rink Computer Quantity,Ice/Curling Rink - Number of Computers,iceCurlingRinkNumberOfComputers,float,
Ice/Curling Rink - Number of Workers on Main Shift,Component Ice Rink Workers on Main Shift Occupant Quantity,Ice/Curling Rink - Number of Workers on Main Shift,iceCurlingRinkNumberOfWorkersOnMainShift,float,
Ice/Curling Rink - Weekly Operating Hours,Component Ice Rink Business Average Weekly Hours,Ice/Curling Rink - Weekly Operating Hours,iceCurlingRinkWeeklyOperatingHours,float,
"Ice/Curling Rink - Worker Density (Number per 1,000 ft2)",,"Ice/Curling Rink - Worker Density (Number per 1,000 ft2)",iceCurlingRinkWorkerDensity,float,
Indirect GHG Emissions (MtCO2e),Indirect Greenhouse Gas (GHG) Emissions,Indirect GHG Emissions (Metric Tons CO2e),indirectGHGEmissions,float,
Indirect GHG Emissions Intensity (kgCO2e/ft2),Indirect Greenhouse Gas (GHG) Emissions Intensity,Indirect GHG Emissions Intensity (kgCO2e/ft2),indirectGHGEmissionsIntensity,float,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
