Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
,Chilled Water Reset Control,Type of control on water reset.,ResetControlEnum,,Seasonal; None; Other; Unknown,ENUM,2
,Cooling Tower Control Type,Type of cooling tower operation control.,CoolingTowerControlTypeEnum,,Wet Bulb Reset; Max Cells; Min Cells; Other; Unknown,ENUM,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Water-side Economizer,"True if there is a waterside economizer in use, false otherwise.",WatersideEconomizer,,,boolean,3
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Zone Count,Number of zones  serviced by the conditioning system.,ZoneCount,,,int,3
,Cooling Equipment Redundancy,True if there is backup cooling equipment. False otherwise.,CoolingEquipmentRedundancy,,,boolean,3
,Primary,True if the system is the primary cooling equipment for the building.,Primary,,,boolean,2
ZonalCooling,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Zonal Cooling Type,Type of equipment used for cooling at the zone.,ZonalCoolingTypeEnum,,Air Handler; Dual Duct; Constant Volume; Constant Volume Reheat; Variable Volume Reheat ; Variable Air Volume (VAV); Heat Pump - Water Source; Radiant Ceiling; Chilled Beam; Fan Coil-2 Pipe; Fan Coil-3 Pipe; Fan Coil-4 Pipe; PTAC; Packaged Direct Expansion; Room Air Conditioner; Room Air Conditioner - Through the wall (Sleeve); Room Air Conditioner - Window AC; Low Pressure Under Floor; Split AC System; Split AC System - Mini-split; Split AC System - Direct Expansion; Heat Pump; Other Or Combination; Unknown,ENUM,1
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Capacity,System capacity. [Btu/hr],Capacity,,,double,2
,Capacity Unit,Capacity of the system.,CapacityUnitsEnum,,Btu; tons,ENUM,2
,Size Range,"Size of air distribution equipment, in a range.",SizeRangeEnum,,5000 - 10000 cfm; 10000 - 20000 cfm; Greater than  20000 cfm; Unknown,ENUM,3
,Downstream Distribution,"True if zonal cooling equipment has downstream distribution, false otherwise.",DownstreamDistribution,,,boolean,3
,Average Operating Hours,Hours system is on during an average day in the cooling season.,AverageOperatingHours,,,double,3
,Number Of Months In Operation,Number of months room air conditioner is on during an average cooling season.,NumberOfMonthsinOperation,,,double,3
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space; Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,3
,Efficiency,Efficiency of system.,Efficiency,,,double,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,2
OtherHVAC,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Other HVAC Type,"Type of  heating, ventilation, and air-conditioning (HVAC) equipment that is not classified as heating, cooling, air-distribution, zonal heating, or zonal cooling.",OtherHVACTypeEnum,,Humidifier; Dehumidifier; Air Cleaner; Non-conditioning Fan; Mechanical Ventilator; Other Or Combination; Unknown,ENUM,1
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Efficiency,Efficiency of system.,Efficiency,,,double,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,2
,Zone Count,Number of zones  serviced by the conditioning system.,ZoneCount,,,int,3
ServiceHotWater,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Service Hot Water Type,Type of water heating equipment for hot running water.,ServiceHotWaterTypeEnum,,Outdoor; Storage Tank - Uncategorized; Storage Tank - Distributed; Storage Tank - Looped; Storage Tank - Point-Of Use; Storage Tank - Direct-fired; Unspecified; Instantaneous; Heat pump; Tankless; Heat Exchanger; From Space Heating Boiler; Other Or Combination; Unknown,ENUM,1
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Size,System fan size. [cfm],SizeFlowRate,,,double,2
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,ENERGYSTAR,True if equipment is Energy Star rated.,ENERGYSTAR,,,boolean,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Efficiency,Efficiency of system.,Efficiency,,,double,1
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Storage Tank Insulation R-Value,Insulation R-Value of hot water storage tank.,StorageTankInsulationRValue,,,int,2
,Storage Tank Insulation Thickness,Insulation thickness of hot water storage tank. [inches],StorageTankInsulationThickness,,,double,1
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Venting Type,Venting type for service hot water equipment.,VentingTypeEnum,,Condensing; Near-Condensing; Forced Draft; Atmospheric; Other or Combination; Unknown,ENUM,3
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Setpoint Temp,Temperature setpoint of service hot water. [Degree F],SetpointTemp,,,double,3
,Residential Temperature Setting,General temperature setting heat mode.,ResidentialTemperatureSettingEnum,,Low; Medium-Low; Medium; Medium-High; High; Unknown,ENUM,3
GeneralControlsAndOperations,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Regular HVAC Maintenance,Level of routine inspection and service for HVAC equipment.,RegularHVACMaintenanceEnum,,None; Yes - unspecified; As Needed; Daily; Weekly; Bi-Weekly; Monthly; Semi-Quarterly; Quarterly; Semi-Annually; Annually; Unknown,ENUM,2
,Programmable Thermostats Used,True of programmable thermostats are used to control HVAC equipment; false otherwise.,ProgrammableThermostatsUsed,,,boolean,2
,Standard Thermostats,True if standard thermostats are used to control HVAC equipment; false otherwise.,StandardThermostats,,,boolean,2
,Heat Lowered,Times programmable thermostat lowers the heat.,FrequencyEnum,,During the day; During sleeping and unoccupied hours; At night; Never Or Rarely; Other; Unknown,ENUM,2
,AC Adjusted,Times programmable thermostat adjusts air conditioning.,FrequencyOfAcAdjustedEnum,,During the day; During sleeping and unoccupied hours; At night; Never Or Rarely; Other; Unknown,ENUM,2
,Occupied Day Setting,Temperature set during the day when occupied. [Degrees F],OccupiedDaySetting,,,double,2
,Unoccupied Day Setting,Temperature set during the day when unoccupied. [Degrees F],UnoccupiedDaySetting,,,double,2
,Sleeping Hours Setting,Temperature set during sleeping hours. (Applies to residential facilities). [Degrees F],SleepingHoursSetting,,,double,2
,Task Lighting In Use,True if task lighting is used.,TaskLightingInUse,,,boolean,3
,Percent Controlled By EMCS,Percent of space controlled by EMCS as far as HVAC.,PercentControlledByEMCS,,,double,3
,Primary HVAC Control Strategy,Primary HVAC equipment control strategy.,PrimaryHVACControlStrategyEnum,,Pneumatic; Electric; Other Or Combination; Unknown,ENUM,3
,HVAC Systems Controlled By EMCS,HVAC systems that are controlled by an energy management and control system (EMCS). Allow multi-select.,HVACSystemsControlledByEMCSEnum,,Heating plant; Cooling Plant; Terminals; Other; Unknown,ENUM,3
,Individual HVAC Control,Control type of individual HVAC equipment.,IndividualHVACControlEnum,,Temperature; Airflow Velocity; Airflow Direction; Other; Unknown,ENUM,3
,Percent Of Rooms Controlled By Thermostatic Radiator Valves,Percent of rooms controlled by thermostatic radiator valves. [%],PercentOfRoomsControlledByThermostaticRadiatorValves,,,double,3
,Percent Of Rooms Controlled By Electronic Zone Valves With Thermostats,Percent of rooms controlled by electronic zone valves with thermostats. [%],PercentOfRoomsControlledByElectronicZoneValvesWithThermostats,,,double,3
,Percent Of Rooms Controlled By Temperature Sensors,Percent of rooms controlled by wireless temperature sensors. [%],PercentOfRoomsControlledByTemperatureSensors,,,double,3
,Percent Of Rooms Controlled By Demand Control Ventilation,Percent of rooms controlled by demand control ventilation. [%],PercentOfRoomsControlledByDemandControlVentilation,,,double,3
,Lighting Reduced During Off Hours,True if lighting load is reduced during off hours. False otherwise.,LightingReducedDuringOffHours,,,boolean,3
,Percent Area Covered By Occupancy Sensors,Percent of area covered by lighting occupancy sensors. [%],PercentAreaCoveredByOccupancySensors,,,double,3
,Percent Area Covered By Vacancy Sensors,Percent of area covered by lighting vacancy sensors. [%],PercentAreaCoveredByVacancySensors,,,double,3
,Percent Area Covered By Photo Sensors,Percent of area covered by lighting photo sensors. [%],PercentAreaCoveredByPhotoSensors,,,double,3
,Percent Area Covered By Timers,Percent of area covered by lighting timers. [%],PercentAreaCoveredByTimers,,,double,3
,Percent Area Covered By Advanced Controls,Percent of area covered by advanced lighting controls. [%],PercentAreaCoveredByAdvancedControls,,,double,3
,AC Replaced In Last 10 Years,True if air conditioning equipment or components have been replaced in the last ten years; false otherwise.,ACReplacedInLast10Years,,,boolean,3
,Number of Coils Replaces,"If air conditioning was replaced in the last ten years, then the number of coils that were replaced.",NumberOfCoilsReplaces,,,,3
,Number Of Air Handlers Replaced,"If air conditioning was replaced in the last ten years, then the number of air handlers that were replaced.",NumberOfAirHandlersReplaced,,,int,3
,Number Of Guest Meals,Number of guest meals served per year.,NumberOfGuestMeals,,,int,3
,Quantity Of Laundry,Quantity of laundry processed on-site annually,QuantityOfLaundry,,,int,3
Wall,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Exterior Wall Type,Type of exterior wall construction material.,ExteriorWallTypeEnum,,Brick; Brick Cavity; Stone; Concrete - Uncategorized; Concrete - Panels; Concrete - Block ; Concrete Poured; Concrete Non-Load Bearing; Concrete Load Bearing; Concrete - Insulated Forms; Concrete - Aerated; Metal - Uncategorized; Metal Panels; Sheet Metal; Masonry; Frame Wall; Frame Wall and Masonry; Curtain Wall; Window Wall; Slab Edge; Continuous Angle; SIPS; EIFS and Masonry; EIFS; Wood Walls; Siding or Shingles; Other Or Combination; Unknown,ENUM,1
,Exterior Wall Color,Color of exterior material.,ColorEnum,,White; Light; Medium; Med-Dark; Dark; Other Or Combination; Unknown,ENUM,1
,Wall R-Value,The walls' resistance to heat flow.,WallRValue,,,int,2
,Percentage Of Total Wall Area,Percentage of this exterior wall type relative to total wall area. [%],PercentageOfTotalWallArea,,,double,2
,Wall Insulation Type,Type of insulation material.,InsulationTypeEnum,,Loose Fill; Batts; Spray-On; Rigid; EPS; Fiberglass; Rockwool; Insulsafe; Recycled Cotton; ISOCY; Icynene; Other Or Combination; None; Unknown,ENUM,1
,Wall Insulation Thickness,Thickness of wall insulation. [inches],WallInsulationThickness,,,double,1
,Basement Wall Insulation Thickness,Thickness of basement insulation. [inches],BasementWallInsulationThickness,,,double,2
,Tightness,Overall rating of characteristic.,QualityEnum,,Excellent; Good; Average; Poor; Very Poor; None; Unknown,ENUM,1
,Wall Area,Total exposed above-grade wall area. [square feet],WallArea,,,double,3
RoofOrCeiling,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Roof Type,Type of roof construction material.,RoofTypeEnum,,Built-up; Shingles; Slate or tile shingles; Wood shingles/shakes/other wood; Asphalt/fiberglass/other shingles; Metal surfacing; Plastic/rubber/synthetic sheeting; Concrete; Cool Roof; Green Roof; Blue Roof; Other Or Combination; Unknown,ENUM,1
,Roof Color,Color of exterior material.,ColorEnum,,White; Light; Medium; Med-Dark; Dark; Other Or Combination; Unknown,ENUM,1
,Deck Type,Roof deck material type.,DeckTypeEnum,,Concrete; Metal; Wood; Other Or Combination; Unknown,ENUM,2
,Roof R-Value,The roof's resistance to heat flow.,RoofRValue,,,int,2
,Percentage Of Total Roof Area,"Percentage of area covered by this roof type, relative to the total roof area. [%]",PercentageOfTotalRoofArea,,,double,2
,Roof Insulation Type,Type of insulation material.,InsulationTypeEnum,,Loose Fill; Batts; Spray-On; Rigid; EPS; Fiberglass; Rockwool; Insulsafe; Recycled Cotton; ISOCY; Icynene; Other Or Combination; None; Unknown,ENUM,1
,Roof Insulation Thickness,Thickness of roof insulation. [inches],RoofInsulationThickness,,,double,1
,Attic Access Location,Location of equipment or component.,LocationWithinBuildingEnum,,Conditioned Space; Unconditioned Space; Outdoors; Closet; Garage; Other; Unknown,ENUM,2
,Attic/Ceiling Type,"Type of attic, or if there is no attic, type of ceiling.",AtticOrCeilingTypeEnum,,Unconditioned Attic; Conditioned Attic; Cathedral Ceiling; Other; Unknown,ENUM,2
,Attic/Ceiling R-value,The attic/ceiling's resistance to heat flow.,AtticOrCeilingRvalue,,,int,2
,Attic/Ceiling Insulation Thickness,Thickness of insulation in attic/ceiling. [inches],AtticOrCeilingInsulationThickness,,,double,1
,Attic/Ceiling Insulation Type,Type of material used to insulate attic/ceiling.,InsulationTypeAtticCeilingEnum,,Loose Fill; Batts; Spray-On; Rigid; EPS; Fiberglass; Rockwool; Insulsafe; Recycled Cotton; ISOCY; Icynene; Other Or Combination; None; Unknown,ENUM,1
,Radiant Barrier,"True if a radiant barrier is installed, false otherwise.",RadiantBarrier,,,boolean,1
,Roof Slope,Categorization of roof slope.,RoofSlopeEnum,,Flat; Pitched; > 2:12; < 2:12; Other Or Combination; Unknown,ENUM,3
,Roof Area,Surface area of roof. [square feet],RoofArea,,,double,3
,Percent Of Roof Terraces,Percentage of roof made up of terraces. [%],PercentOfRoofTerraces,,,double,3
,Terrace R-Value,The terrace's resistance to heat flow.,TerraceRValue,,,int,3
,Attic Access Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Other; Unknown,ENUM,2
Fenestration,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Window Glass Type,Type of glass in windows.,WindowGlassTypeEnum,,Clear; Low-e; Tinted; Reflective; Tinted/Reflective; High Performance; Other Or Combination; Unknown,ENUM,1
,Operable Windows,"True if windows are operable and can be used as ventilation, false otherwise.",OperableWindows,,,boolean,1
,Windows Gas Filled,"True if windows are gas filled, false otherwise.",WindowsGasFilled,,,boolean,2
,Window Glass Layers,Number of layers in window type.,WindowGlassLayersEnum,,Single-pane; Double-pane; Triple-pane; Multi-layered; Single-Paned with Storms; Other Or Combination; Unknown,ENUM,1
,Window R-value,The windows' resistance to heat flow.,WindowRvalue,,,int,2
,Solar Heat Gain Coefficient (SHGC),"SolarHeatGainCoefficient (SHGC) is the fraction of incident solar radiation admitted through a window, both directly transmitted and absorbed and subsequently released inward.",SolarHeatGainCoefficient,,,double,2
,Window Visible Transmittance,Amount of visible light transmitted trough the window vs. full transmittance. [%],WindowVisibleTransmittance,,,double,2
,Window To Wall Ratio,Ratio of total window area to total  wall area.,WindowToWallRatio,,,double,1
,Window Frame Type,Type of window frame.,WindowFrameTypeEnum,,Aluminum - Uncategorized; Aluminum - No thermal break; Aluminum - Thermal break; Composite; Fiberglass; Steel; Vinyl; Wood; Other Or Combination; Unknown,ENUM,2
,Exterior Shading Type,Any type of overhang or awning on the outside of the building designed to limit solar penetration.,ExteriorShadingTypeEnum,,Exterior Shades - Uncategorized; External Overhangs; Awnings; Solar Screens; Solar Film; None; Other Or Combination; Unknown,ENUM,1
,Exterior Shading Orientation,Orientation of window exterior shading.,ExteriorShadingOrientationEnum,,North; North East; North West; South; South East; South West; East; West; Unknown,ENUM,2
,Interior Shading Type,Type of interior shading.,InteriorShadingTypeEnum,,Blinds; Curtains; Shades; None; Other Or Combination; Unknown,ENUM,2
,Skylights,"True if skylights are present, false otherwise.",Skylights,,,boolean,1
,Windows Weather-Stripped,"True if windows are weather-stripped, false otherwise.",WindowsWeatherStripped,,,boolean,2
,Exterior Door Type,Exterior entrance/exit doors type.,ExteriorDoorTypeEnum,,Solid Wood; Hollow Wood; Uninsulated Metal; Insulated Metal; Glass; Other Or Combination; Unknown,ENUM,2
,Doors Weather-Stripped,True if exterior doors are weather-stripped.,DoorsWeatherStripped,,,boolean,2
,Window Area,Total window area. [square feet],WindowArea,,,double,3
,Ground Floor Only,"True if window type applies to only the ground floor, false otherwise.",GroundFloorOnly,,,boolean,3
,Percent Vision Glazing,Percent of vision glazing of exposed wall area. Vision glazing is windows that provide a connection to the outdoors. [%],PercentVisionGlazing,,,double,3
,Year Of Last Window Replacement,"Year of last window replacement, if known.",YearOfLastWindowReplacement,,,int,3
,Percent Of Window Area Shaded,Percent of window area that is shaded at max shading by external shading. [%],PercentOfWindowAreaShaded,,,double,3
,Percent Skylight Area,Percentage of roof area that is skylight(s). [%],PercentSkylightArea,,,double,3
,Skylight SHGC,"SHGC is the fraction of incident solar radiation admitted through a window, both directly transmitted and absorbed and subsequently released inward.",SkylightSHGC,,,double,3
,Skylight Visible Transmittance,Amount of visible light transmitted trough the window vs. full transmittance.,SkylightVisibleTransmittance,,,double,3
,Number Of Exterior Doors,The number of doors that lead to the exterior.,NumberOfExteriorDoors,,,int,3
Foundation,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Ground Coupling,The manner in which the building is connected to the ground.,GroundCouplingEnum,,Basement; Conditioned Basement; Unconditioned Basement; Half Conditioned Basement; Slab; Crawl Space; Unvented Crawlspace; Vented Crawlspace; Continuous Angle; Other Or Combination; Unknown,ENUM,1
,Perimeter Insulated,"True if floor perimeter is insulated, false otherwise.",PerimeterInsulated,,,boolean,1
,Floor Insulation Thickness,Thickness of insulation in floor. [inches],FloorInsulationThickness,,,double,1
,Floor R-Value,The floor's resistance to heat flow.,FloorRValue,,,int,2
,Floor Construction Type,Floor construction material type.,FloorConstructionTypeEnum,,Concrete; Light Weight Concrete & Steel; Wood; Other Or Combination; Unknown,ENUM,2
,Carpet,"True if floors are carpeted, false otherwise.",Carpet,,,boolean,3
,Plumbing Penetration Sealing,"True if plumbing penetration sites are sealed, false otherwise.",PlumbingPenetrationSealing,,,boolean,3
ITSystem,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,IT System Type,Type of information/technology (IT) system.,ITSystemTypeEnum,,Personal Computer; Server; Printing; Cash Register; Audio; Display; Networking; Security; Set Top; Telephoning; Business Equipment; Power; Other Or Combination; Unknown,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Electrical Plug Intensity,Plug load per square foot. [Watts/sq.ft.],ElectricalPlugIntensity,,,double,2
,ENERGYSTAR,True if equipment is Energy Star rated.,ENERGYSTAR,,,boolean,2
,UPS System Redundancy,True if there is a backup uninterruptable power supply (UPS). False otherwise.,UPSSystemRedundancy,,,boolean,3
,Density,"Number of assets of this type per 1,000 square feet.",AssetDensity,,,double,3
,Installed Power,Installed power for this system. [kW],InstalledPower,,,double,3
ProcessLoad,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Process Load Type,Type of general miscellaneous equipment not categorized elsewhere.,ProcessLoadTypeEnum,,Medical Equipment; Laboratory Equipment; Machinery; Motor; Air Compressor; Fume Hood; Appliance; Gaming/Hobby/Leisure; Infrastructure; Electric Vehicle Charging; Other Or Combination; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Installed Power,Installed power for this system.,InstalledPower,,,double,2
,Efficiency,Efficiency of system.,Efficiency,,,double,1
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
Cooking,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Cooking Type,"Type of cooking as an energy end use (does not include employee lounge areas that are equipped with microwaves, other food preparation equipment, and/or vending machines.)",CookingTypeEnum,,Residential Kitchen; Commercial - Uncategorized; Commercial - Fast Food Or Small; Restaurant; Commercial - Large Restaurant; Institutional - Uncategorized; Institutional - Cafeteria; Institutional - Snack Bar Or Small Kitchen; Other Or Combination; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
Refrigeration,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Refrigeration Type,Type of refrigeration equipment.,RefrigerationTypeEnum,,Refrigeration - Case; Refrigeration - Walk-in; Commercial - Uncategorized; Commercial Freezer - Uncategorized; Commercial Freezer- Walk-in; Commercial Freezer - Case; Commercial Refrigerator - Uncategorized; Commercial Refrigerator - Walk-in; Commercial Refrigerator - Open Case; Commercial Refrigerator - Closed Case; Residential - Uncategorized; Residential - Full-Sized One Door; Residential - Full-size Two Doors; Residential - Half or Quarter Size; Residential Freezer - Uncategorized; Residential Freezer - Manual Defrost; Residential Freezer - Frost Free; Refrigerated Vending Machine; Refrigerator - Uncategorized; Freezer - Uncategorized; Other Or Combination; Unknown,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Size,System fan size. [cfm],SizeFlowRate,,,double,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,ENERGYSTAR,True if equipment is Energy Star rated.,ENERGYSTAR,,,boolean,2
,Doors,Door configuration of  the refrigerator/freezer unit.,DoorsEnum,,Side-by-side; Top and bottom; Other Or Combination; Unknown,ENUM,2
,Density,"Number of assets of this type per 1,000 square feet.",AssetDensity,,,double,3
Dishwasher,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Dishwasher Type,"Type of dishwasher: A free-standing, built-in, or portable appliance used for automatically cleaning dishware, utensils, and cutlery. ",DishwasherTypeEnum,,Residential - Uncategorized; Residential - Built-in under counter; Residential - Portable; Residential - Counter-top; Commercial - Uncategorized; Commercial - Under Counter; Commercial - Single Tank; Commercial - Conveyor; Other; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,ENERGYSTAR,True if equipment is Energy Star rated.,ENERGYSTAR,,,boolean,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Loads Per Week,Average number of loads of dishes washed per week.,LoadsPerWeek,,,double,3
Laundry,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
